id	Kanji	JLPT-test	"Name of Radical"	"Translation of On"	"Translation of Kun"
1307	貸	4	"Kai, Kaihen"	"lend; hire out, rent, lease; give credit to "	"lend; hire out, rent, lease; give credit to "
1312	大	5	Dai	"large, huge, grand; the greater; size; very; inveterate (smoker); severe (damage); success"	"large, great, grand, mighty, immense; severe; heavy. very, much, greatly, exceedingly. heavy (rain); loud (voice); full-size, life-size"
1313	代	4	"Hito, Ninben, Hitoyane"	"period, age, generation; charge, rate, fee, cost, price"	"world, society, public; life, existence, career, lifetime; age, era, generation, times; reign. change, turn, convert, exchange, renew, substitute, replace. relieve. price; substitution"
1314	台	4	"Kuchi, Kuchihen"	"stand, pedestal, rack, table, dais, bench, block; holder, support; mounting, setting"	-
1316	題	4	Oogai	"subject, theme, topic; title, caption, heading; question, problem"	-
1348	男	5	"Ta, Tahen"	"man, male; baron. counter for sons"	"man, male; fellow; adult; manhood; male servant; paramour"
1355	地	4	"Tsuchi, Tsuchihen"	"earth, land, ground, the surface of the earth; soil; place, region; territory; room, space; position; site; foundation. texture, weave, fabric; field (of a flag); disposition; respectability; accompaniment; narrative part; fact"	-
1357	知	4	"Ya, Yahen"	"know, acquaintance, sense"	"know; understand; appreciate recognize; realize; notice, sense, feel; remember; infer, gather; be concerned with"
1373	茶	4	Kusakanmuri	"tea; tea plant; tea leaves, light brown"	-
1374	着	4	Hitsuji	"arrival, finish (in a race); race counter "	"put on, wear. clothe, dress; cover, plate, coat, gild; veneer; blame for, impute a crime to. arrive at, reach, attain to"
1376	中	5	Boo	"center, middle; middle (course); (golden) mean; medium, mediocrity, average; second volume (of three) "	"inside, interior, midst, middle, mean, midway "
1383	注	4	"Mizu, Sanzui, Shitamizu"	"notes, comment; N.B."	"pour into, pour on, irrigate, sprinkle; shed (tears). (rain) falls; flow into; pay attention to, concentrate on "
1384	昼	4	"Nichi, Nichihen"	"daytime, midday"	"daytime, midday, noon"
1396	町	4	"Ta, Tahen"	"town; block; street; 2.45 acres; 119 yards"	"town; quarters; street"
1397	長	5	Nagai	"head, chief, headman, commander, director, manager; merit, forte, advantage; superiority; length "	"long, lengthy"
1405	鳥	4	Tori	bird	"bird, chicken, fowl"
1406	朝	4	"Tsuki, Tsukihen"	"dynasty; reign, regime; period, epoch; the court "	"morning, forenoon"
1430	通	4	Shinnyoo	"pass; expert"	"walk along, pass by; pass through; pass (exams); be knows as; be admissible; come in; be understood; reach; draw (on a piece); drain (as a sink); be consistent. let (someone) pass; pass (something) through; make way for; let in, admit; usher in; cut through; pierce; permeate, penetrate; carry one's point; persist in; look over (a book); keep on doing, continue; pose as; pass (a law); order (a meal). commute; attend (school); ply between; frequent (a place); go (for treatments); circulate; breathe; be charged with "
1440	弟	4	"Yumi, Yumihen"	"younger brother, faithful service to those older; brotherly affection"	"younger brother"
1460	的	4	Shiro	"mark, target; object; the point. adjective ending"	"mark, target; object; the point"
1472	天	5	Dai	"sky, air, heavens, celestial sphere, firmament; heaven, Providence, God, Nature; destiny; weather; top; beginning "	"sky, heaven. Heavenly"
1474	店	4	Madare	"shop, store"	"shop, store, booth"
